nxHelBake1.g2321.t2	
nxHelBake1.g1935.t1	
nxHelBake1.g18996.t1	
nxHelBake1.g4598.t1	
nxHelBake1.g13675.t2	
nxHelBake1.g4534.t1	GO:0006464
nxHelBake1.g4282.t1	GO:0015671,GO:0019825,GO:0005506,GO:0020037
nxHelBake1.g2132.t1	
nxHelBake1.g9389.t1	
nxHelBake1.g3573.t6	GO:0005515
nxHelBake1.g9915.t1	GO:0005515,GO:0005886,GO:0007411,GO:0007155
nxHelBake1.g849.t1	
nxHelBake1.g13451.t3	GO:0003756
nxHelBake1.g19076.t1	
nxHelBake1.g4307.t1	GO:0006508,GO:0004222,GO:0008237
nxHelBake1.g2106.t1	GO:0003723,GO:0000398,GO:0005681
nxHelBake1.g16996.t1	
nxHelBake1.g11199.t1	
nxHelBake1.g4656.t1	GO:0019239
nxHelBake1.g18019.t1	
nxHelBake1.g16100.t3	GO:0005524,GO:0004672,GO:0006468
nxHelBake1.g2219.t1	GO:0016272,GO:0051082,GO:0006457
nxHelBake1.g16859.t2	GO:0016020
nxHelBake1.g4716.t1	
nxHelBake1.g13868.t2	
nxHelBake1.g14209.t2	
nxHelBake1.g12166.t1	
nxHelBake1.g10421.t1	
nxHelBake1.g4714.t1	
nxHelBake1.g12204.t2	GO:0008270
nxHelBake1.g16664.t1	GO:0004674,GO:0005524,GO:0006468
nxHelBake1.g17012.t1	GO:0051879
nxHelBake1.g9819.t1	GO:0016021,GO:0055085,GO:0016020,GO:0015116,GO:0008271,GO:0008272
nxHelBake1.g9416.t1	
nxHelBake1.g939.t1	
nxHelBake1.g7720.t1	
nxHelBake1.g4613.t1	GO:0004888,GO:0034220,GO:0016021,GO:0005230,GO:0006811,GO:0005216
nxHelBake1.g16251.t1	GO:0007165
nxHelBake1.g17274.t1	
nxHelBake1.g3326.t1	
nxHelBake1.g15292.t1	
nxHelBake1.g8169.t1	GO:0090114,GO:0030127,GO:0005515,GO:0005198,GO:1904263,GO:0016192
nxHelBake1.g12020.t1	GO:0005515
nxHelBake1.g15004.t1	GO:1901642,GO:0005337,GO:0016021
nxHelBake1.g10006.t3	GO:0005737,GO:0008253,GO:0000287
nxHelBake1.g747.t1	GO:0016788,GO:0004620
nxHelBake1.g255.t4	GO:0008017,GO:0003777,GO:0005524,GO:0007018,GO:0005515
nxHelBake1.g3853.t1	
nxHelBake1.g7439.t2	
nxHelBake1.g550.t5	GO:0005515,GO:0031124
nxHelBake1.g9662.t1	GO:0017176,GO:0006506,GO:0016021
nxHelBake1.g15636.t2	
nxHelBake1.g10958.t1	
nxHelBake1.g15039.t1	
nxHelBake1.g16815.t1	GO:0005515
nxHelBake1.g14827.t1	
nxHelBake1.g16054.t3	GO:0005975,GO:0005516,GO:0005977
nxHelBake1.g1370.t1	GO:0051082,GO:0006457
nxHelBake1.g12954.t1	
nxHelBake1.g5999.t1	GO:0006629,GO:0008081
nxHelBake1.g18573.t1	
nxHelBake1.g7329.t1	
nxHelBake1.g4899.t1	
nxHelBake1.g659.t1	
nxHelBake1.g7607.t1	
nxHelBake1.g17243.t1	GO:0006508,GO:0004198
nxHelBake1.g6886.t1	
nxHelBake1.g17936.t3	GO:0008168
nxHelBake1.g8003.t3	GO:0005515
nxHelBake1.g251.t1	
nxHelBake1.g5678.t1	
nxHelBake1.g11509.t1	
nxHelBake1.g7890.t1	
nxHelBake1.g7983.t1	
nxHelBake1.g17314.t1	GO:0005201,GO:0005581
nxHelBake1.g12487.t1	
nxHelBake1.g384.t1	GO:0046872
nxHelBake1.g10433.t1	GO:0004713,GO:0004672,GO:0006468
nxHelBake1.g6189.t1	
nxHelBake1.g8624.t1	
nxHelBake1.g10531.t2	GO:0005515,GO:0005524,GO:0004672,GO:0006468
nxHelBake1.g7661.t1	
nxHelBake1.g8024.t1	
nxHelBake1.g3283.t1	
nxHelBake1.g17095.t1	GO:0010181,GO:0016491
nxHelBake1.g3905.t1	
nxHelBake1.g7377.t1	GO:0004672,GO:0006468
nxHelBake1.g15223.t1	GO:0004930,GO:0007186,GO:0016021
nxHelBake1.g16668.t1	
nxHelBake1.g3637.t1	
nxHelBake1.g12462.t1	
nxHelBake1.g18791.t1	
nxHelBake1.g10590.t1	
nxHelBake1.g6556.t2	
nxHelBake1.g8175.t1	GO:0004930,GO:0007186,GO:0016021
nxHelBake1.g5686.t1	GO:0055085,GO:0022857,GO:0016021
nxHelBake1.g2397.t2	
nxHelBake1.g7030.t1	
nxHelBake1.g4255.t1	GO:0004066,GO:0006529
nxHelBake1.g2644.t3	
nxHelBake1.g8759.t1	
nxHelBake1.g9790.t1	
nxHelBake1.g14317.t1	
nxHelBake1.g9186.t1	
nxHelBake1.g8960.t1	GO:0006397,GO:0000445
nxHelBake1.g11614.t1	GO:0003756
nxHelBake1.g9969.t1	GO:0007166,GO:0016020,GO:0005515
nxHelBake1.g11953.t1	GO:0005524,GO:0004672,GO:0006468
nxHelBake1.g9228.t1	GO:0018996,GO:0008270,GO:0006508,GO:0004222,GO:0008237
nxHelBake1.g2930.t1	GO:0001731,GO:0003723,GO:0006413,GO:0003743
nxHelBake1.g18176.t1	
nxHelBake1.g19038.t1	GO:0005515,GO:0005737,GO:0006749,GO:0004364
nxHelBake1.g8756.t1	
nxHelBake1.g12808.t1	GO:0005515
nxHelBake1.g7286.t1	
nxHelBake1.g15387.t1	
nxHelBake1.g1676.t2	GO:0005524,GO:0007018,GO:0003777,GO:0008017
nxHelBake1.g8684.t1	GO:0005524,GO:0007018,GO:0003777,GO:0008017
nxHelBake1.g17721.t1	GO:0008080
nxHelBake1.g13004.t1	GO:0005515
nxHelBake1.g12206.t1	GO:0035101
nxHelBake1.g7597.t1	
nxHelBake1.g14953.t1	
nxHelBake1.g12185.t3	GO:0042302
nxHelBake1.g12705.t1	
nxHelBake1.g14017.t1	
nxHelBake1.g18815.t1	GO:0008270
nxHelBake1.g12314.t1	GO:0005515
nxHelBake1.g1960.t1	
nxHelBake1.g16823.t1	
nxHelBake1.g11010.t1	GO:0005515
nxHelBake1.g4267.t1	GO:0016705,GO:0005506,GO:0031418
nxHelBake1.g8418.t1	GO:0004930,GO:0007186,GO:0016021
nxHelBake1.g16373.t1	
nxHelBake1.g9419.t1	GO:0060261,GO:0006355,GO:0003677,GO:0003713
nxHelBake1.g8102.t1	GO:0005975
nxHelBake1.g2971.t1	
nxHelBake1.g1473.t1	GO:0004512,GO:0008654,GO:0006021
nxHelBake1.g2464.t1	
nxHelBake1.g2470.t1	
nxHelBake1.g4835.t2	GOLD domain superfamily,GOLD domain
nxHelBake1.g1002.t1	
nxHelBake1.g1384.t1	GO:0006470,GO:0004725
nxHelBake1.g12887.t1	
nxHelBake1.g19032.t1	GO:0005524,GO:0004672,GO:0006468
nxHelBake1.g3300.t1	GO:0016021,GO:0016020,GO:0006814,GO:0006811,GO:0005216,GO:0005272
nxHelBake1.g13103.t1	
nxHelBake1.g15089.t1	
nxHelBake1.g6796.t1	
nxHelBake1.g15092.t1	GO:0005525,GO:0003924,GO:0007017,GO:0005874,GO:0005200
nxHelBake1.g12307.t1	
nxHelBake1.g12112.t1	
nxHelBake1.g8910.t1	
nxHelBake1.g16215.t1	
nxHelBake1.g630.t1	GO:0003723
nxHelBake1.g17268.t1	
nxHelBake1.g9316.t1	GO:0016255,GO:0042765
nxHelBake1.g3515.t1	GO:0016705,GO:0005506,GO:0004497,GO:0020037
nxHelBake1.g12229.t1	GO:0005515
nxHelBake1.g11735.t1	
nxHelBake1.g9503.t1	GO:0006869,GO:0005319
nxHelBake1.g15970.t1	
nxHelBake1.g13681.t2	
nxHelBake1.g18266.t1	
nxHelBake1.g17964.t1	GO:0005515,GO:0006396,GO:0003676,GO:0006364
nxHelBake1.g44.t1	GO:0005643
nxHelBake1.g1602.t3	GO:0016020,GO:0016021
nxHelBake1.g48.t1	
nxHelBake1.g8385.t1	
nxHelBake1.g4958.t1	GO:0005515
nxHelBake1.g11594.t1	
nxHelBake1.g3696.t1	
nxHelBake1.g8437.t1	GO:0005509,GO:0016020
nxHelBake1.g7163.t2	
nxHelBake1.g3530.t1	
nxHelBake1.g15049.t1	
nxHelBake1.g16449.t2	GO:0005524,GO:0004672,GO:0006468
nxHelBake1.g3405.t1	
nxHelBake1.g6769.t1	
nxHelBake1.g5436.t1	GOLD domain superfamily,GOLD domain
nxHelBake1.g12384.t1	GO:0042302
nxHelBake1.g6252.t1	
nxHelBake1.g9908.t1	
nxHelBake1.g11787.t1	
nxHelBake1.g18733.t3	
nxHelBake1.g5075.t1	
nxHelBake1.g5459.t1	
nxHelBake1.g15071.t1	
nxHelBake1.g18277.t1	GO:0016705,GO:0005506,GO:0031418
nxHelBake1.g18401.t3	
nxHelBake1.g13351.t1	
nxHelBake1.g15844.t1	GO:0003994,GO:0051539,GO:0006099
nxHelBake1.g10587.t1	
nxHelBake1.g17900.t1	
nxHelBake1.g5606.t1	
nxHelBake1.g1197.t1	GO:0055085,GO:0005524,GO:0140359,GO:0016021
nxHelBake1.g13475.t1	GO:0006508,GO:0008234
nxHelBake1.g15082.t1	
nxHelBake1.g2090.t2	GO:0005978,GO:0004373
nxHelBake1.g3473.t1	
nxHelBake1.g6534.t1	GO:0009986
nxHelBake1.g9632.t1	
nxHelBake1.g13407.t1	
nxHelBake1.g7884.t1	GO:0003676
nxHelBake1.g10371.t1	GO:0016192,GO:0016020
nxHelBake1.g15520.t1	GO:0003723,GO:0000178
nxHelBake1.g2720.t1	GO:0016491
nxHelBake1.g4111.t1	
nxHelBake1.g16913.t1	GO:0016791
nxHelBake1.g13929.t1	GO:0004930,GO:0007186,GO:0016021
nxHelBake1.g12717.t1	
nxHelBake1.g2542.t1	
nxHelBake1.g6297.t1	GO:0008528,GO:0007186,GO:0004930,GO:0016021
nxHelBake1.g4214.t2	
nxHelBake1.g4305.t1	GO:0005975,GO:0004563,GO:0004553
nxHelBake1.g4733.t1	
nxHelBake1.g13709.t1	GO:0005515
nxHelBake1.g15098.t1	GO:0140658,GO:0005524
nxHelBake1.g2352.t1	
nxHelBake1.g353.t1	GO:0004471,GO:0051287,GO:0004470
nxHelBake1.g16178.t1	GO:0005840
nxHelBake1.g7133.t1	
nxHelBake1.g842.t1	GO:0003712,GO:0070063
nxHelBake1.g8733.t2	
nxHelBake1.g14601.t1	GO:0005515
nxHelBake1.g8351.t1	GO:0000413,GO:0003755
nxHelBake1.g4493.t1	
nxHelBake1.g7864.t1	
nxHelBake1.g17883.t1	
nxHelBake1.g7002.t1	
nxHelBake1.g8088.t1	
nxHelBake1.g9338.t1	
nxHelBake1.g6034.t1	
nxHelBake1.g2852.t1	
nxHelBake1.g14505.t1	
nxHelBake1.g17440.t1	
nxHelBake1.g15378.t1	
nxHelBake1.g12276.t1	
nxHelBake1.g10479.t1	GO:0018996,GO:0008270,GO:0006508,GO:0004222,GO:0008237
nxHelBake1.g7464.t1	GO:0005515,GO:0000462,GO:0030515
nxHelBake1.g1207.t1	GO:0046332
nxHelBake1.g7153.t1	
nxHelBake1.g1899.t1	GO:0003824,GO:0004807
nxHelBake1.g18037.t1	
nxHelBake1.g12759.t1	
nxHelBake1.g7792.t4	GO:0016021
nxHelBake1.g1288.t1	GO:0016747
nxHelBake1.g17315.t1	GO:0003676
nxHelBake1.g5580.t1	
nxHelBake1.g14731.t1	
nxHelBake1.g15729.t1	GO:0004559,GO:0006013,GO:0005975,GO:0003824,GO:0030246
nxHelBake1.g11504.t1	GO:0006814,GO:0016020,GO:0005272
nxHelBake1.g2836.t1	
nxHelBake1.g14425.t1	
nxHelBake1.g6592.t2	GO:0003824,GO:0030170,GO:0008483
nxHelBake1.g18764.t1	
nxHelBake1.g12174.t1	
nxHelBake1.g6385.t1	GO:0008250,GO:0016021
nxHelBake1.g835.t2	
nxHelBake1.g11712.t1	
nxHelBake1.g9231.t1	
nxHelBake1.g13946.t1	
nxHelBake1.g5649.t1	GO:0003723,GO:0003676
nxHelBake1.g17937.t1	GO:0010181,GO:0004733,GO:0008615
nxHelBake1.g6414.t1	
nxHelBake1.g15344.t2	GO:0005515,GO:0005886,GO:0007411,GO:0007155
nxHelBake1.g3435.t1	GO:0016020,GO:0006814,GO:0006508,GO:0008234,GO:0005272
nxHelBake1.g9369.t1	GO:0006915
nxHelBake1.g7109.t1	
nxHelBake1.g1837.t1	
nxHelBake1.g8273.t1	
nxHelBake1.g1380.t1	
nxHelBake1.g11936.t1	GO:0005741,GO:0006886
nxHelBake1.g12452.t1	
nxHelBake1.g517.t1	
nxHelBake1.g17190.t1	GO:0033177,GO:0045263,GO:1902600,GO:0015078,GO:0015986
nxHelBake1.g13127.t1	
nxHelBake1.g2670.t1	GO:0005852,GO:0005737,GO:0003743
nxHelBake1.g10522.t2	GO:0005524,GO:0005536,GO:0005975,GO:0001678,GO:0004396,GO:0016773
nxHelBake1.g12084.t1	GO:0005634,GO:0000245
nxHelBake1.g16751.t2	GO:0046540,GO:0000398
nxHelBake1.g15391.t1	GO:0055085,GO:1990544,GO:0140021,GO:0005471,GO:0005743
nxHelBake1.g7470.t1	GO:0008430
nxHelBake1.g14528.t1	
nxHelBake1.g7708.t1	
nxHelBake1.g18251.t2	GO:0055085,GO:0008324,GO:0006812,GO:0016021
nxHelBake1.g16950.t1	
nxHelBake1.g2065.t1	
nxHelBake1.g9099.t2	
nxHelBake1.g16584.t7	GO:0003723,GO:0051568,GO:0003676,GO:0042800,GO:0005515
nxHelBake1.g17351.t1	
nxHelBake1.g6730.t1	
nxHelBake1.g7067.t2	GO:0006629
nxHelBake1.g12128.t1	
nxHelBake1.g15337.t1	
nxHelBake1.g4710.t1	GO:0008168
nxHelBake1.g3962.t3	GO:0016787
nxHelBake1.g8392.t1	GO:0016021,GO:0055085,GO:0016020,GO:0006811,GO:0005515,GO:0005216
nxHelBake1.g7212.t1	GO:0004445
nxHelBake1.g10423.t1	
nxHelBake1.g12824.t1	GO:0006355,GO:0008270,GO:0005634
nxHelBake1.g12830.t4	GO:0003723,GO:0003676
nxHelBake1.g532.t1	
nxHelBake1.g18981.t2	GO:0005515
nxHelBake1.g16845.t1	GO:0004867
nxHelBake1.g1519.t1	
nxHelBake1.g7671.t1	GO:0035434,GO:0005375,GO:0016021
nxHelBake1.g4435.t1	GO:0005515,GO:0006413,GO:0003743
nxHelBake1.g872.t1	GO:0005515,GO:0071985
nxHelBake1.g12319.t1	GO:0005525,GO:0003924,GO:0005515,GO:0035556,GO:0006400
nxHelBake1.g4077.t1	GO:0071805,GO:0016020,GO:0005267
nxHelBake1.g17738.t1	
nxHelBake1.g12692.t1	
nxHelBake1.g2828.t1	
nxHelBake1.g12706.t1	
nxHelBake1.g6774.t1	
nxHelBake1.g4418.t1	
nxHelBake1.g14507.t1	
nxHelBake1.g14761.t1	GO:0008061,GO:0005576
nxHelBake1.g16661.t2	
nxHelBake1.g15860.t2	
nxHelBake1.g12860.t2	GO:0005515
nxHelBake1.g3653.t2	
nxHelBake1.g15722.t1	
nxHelBake1.g11146.t1	
nxHelBake1.g1672.t1	
nxHelBake1.g11502.t2	GO:0007064
nxHelBake1.g7249.t1	
nxHelBake1.g8168.t2	GO:0006357,GO:0016538
nxHelBake1.g8689.t1	GO:0000493,GO:0008234,GO:0006508
nxHelBake1.g6353.t1	GO:0006032,GO:0016998,GO:0004568
nxHelBake1.g7434.t1	GO:0005515
nxHelBake1.g5637.t1	GO:0016491,GO:0019752,GO:0006108,GO:0016615,GO:0003824,GO:0030060,GO:0016616
nxHelBake1.g17069.t1	GO:0042302
nxHelBake1.g18454.t1	
nxHelBake1.g14727.t1	GO:0003677,GO:0005524,GO:0016818,GO:0003678
nxHelBake1.g9758.t2	GO:0005544
nxHelBake1.g10591.t1	
nxHelBake1.g2259.t3	
nxHelBake1.g3217.t1	
nxHelBake1.g12516.t1	GO:0004325,GO:0006783
nxHelBake1.g15416.t1	GO:0015671,GO:0019825,GO:0005506,GO:0020037
nxHelBake1.g2134.t1	
nxHelBake1.g10905.t1	
nxHelBake1.g18036.t1	GO:0005634,GO:0006351
nxHelBake1.g3390.t1	
nxHelBake1.g4338.t1	GO:0055085,GO:0016020,GO:0008076,GO:0006811,GO:0005216,GO:0051260,GO:0006813,GO:0005249
nxHelBake1.g7817.t1	
nxHelBake1.g9156.t1	GO:0006814,GO:0016020,GO:0005272
nxHelBake1.g4650.t1	
nxHelBake1.g921.t1	GO:0006508,GO:0005838
nxHelBake1.g9637.t1	
nxHelBake1.g16917.t1	GO:0016671
nxHelBake1.g8773.t1	
nxHelBake1.g16638.t1	
nxHelBake1.g5125.t1	GO:0005840,GO:0006412,GO:0003735
nxHelBake1.g16982.t1	
nxHelBake1.g295.t1	
nxHelBake1.g6539.t1	GO:0005515,GO:0007165
nxHelBake1.g9708.t1	
nxHelBake1.g17344.t2	GO:0006355,GO:0003700,GO:0008270,GO:0043565
nxHelBake1.g12226.t1	GO:0046961,GO:1902600,GO:0016471
nxHelBake1.g12134.t1	
nxHelBake1.g12152.t1	GO:0009055,GO:0050660
nxHelBake1.g2017.t1	GO:0016021
nxHelBake1.g2469.t2	
nxHelBake1.g4276.t1	GO:0070836
nxHelBake1.g6598.t1	GO:0003723,GO:0003676
nxHelBake1.g18376.t1	
nxHelBake1.g13711.t1	GO:0007076
nxHelBake1.g3990.t1	GO:0005509,GO:0016020
nxHelBake1.g7427.t1	
nxHelBake1.g8582.t1	GO:0007165
nxHelBake1.g10956.t1	
nxHelBake1.g17642.t1	
nxHelBake1.g16673.t1	GO:0006357,GO:0006355,GO:0003700,GO:0043565
nxHelBake1.g9013.t1	GO:0016020,GO:0051537,GO:0008121
nxHelBake1.g12354.t1	GO:0071805,GO:0016020,GO:0005267
nxHelBake1.g9173.t1	GO:0045131,GO:0008270,GO:0003723,GO:0000398,GO:0003676
nxHelBake1.g5964.t1	GO:0016197,GO:0031902,GO:0007040,GO:0045121,GO:0032008,GO:0043410,GO:0071230,GO:0071986,GO:0042632,GO:0001919
nxHelBake1.g17145.t2	GO:0055070,GO:0005507
nxHelBake1.g3173.t1	GO:0005525,GO:0003924
nxHelBake1.g11104.t1	
nxHelBake1.g5674.t1	GO:0005525
nxHelBake1.g2573.t1	
nxHelBake1.g9010.t1	GO:0008641
nxHelBake1.g12048.t1	GOLD domain
nxHelBake1.g11505.t1	
nxHelBake1.g4060.t2	GO:0005509,GO:0008597
nxHelBake1.g9797.t1	
nxHelBake1.g3238.t1	GO:0042302
nxHelBake1.g18238.t1	GO:0000030
nxHelBake1.g13678.t1	GO:0006508,GO:0004222,GO:0008237
nxHelBake1.g16370.t3	GO:0006897,GO:0003779,GO:0005543,GO:0030276
nxHelBake1.g187.t1	
nxHelBake1.g3760.t1	GO:0018024,GO:0005515,GO:0005634
nxHelBake1.g16030.t1	
nxHelBake1.g8772.t1	GO:0035434,GO:0005375,GO:0016021
nxHelBake1.g4767.t2	GO:0008168
nxHelBake1.g3236.t1	GO:0046855
nxHelBake1.g3410.t1	
nxHelBake1.g5147.t1	
nxHelBake1.g5325.t1	
nxHelBake1.g3167.t1	
nxHelBake1.g7488.t5	GO:0004672,GO:0006468,GO:0005524,GO:0004674,GO:0004692
nxHelBake1.g8616.t1	
nxHelBake1.g17361.t1	
nxHelBake1.g10319.t1	GO:0006379,GO:0005847,GO:0006378
nxHelBake1.g18471.t1	
nxHelBake1.g3334.t1	
nxHelBake1.g8353.t1	
nxHelBake1.g3934.t1	
nxHelBake1.g11107.t1	
nxHelBake1.g17110.t1	
nxHelBake1.g9134.t1	GO:0006614,GO:0005525,GO:0003924,GO:0048500,GO:0008312
nxHelBake1.g5295.t1	
nxHelBake1.g16222.t1	GO:0016567,GO:0005515,GO:0004842
nxHelBake1.g3470.t1	
nxHelBake1.g610.t1	GO:0005524,GO:0004672,GO:0006468
nxHelBake1.g3636.t1	
nxHelBake1.g5512.t1	
nxHelBake1.g6257.t1	
nxHelBake1.g9262.t2	
nxHelBake1.g1133.t1	
nxHelBake1.g14970.t1	GO:0019825,GO:0020037
nxHelBake1.g2749.t3	
nxHelBake1.g12408.t1	
nxHelBake1.g1942.t1	GO:0007606,GO:0016021
nxHelBake1.g15976.t3	
nxHelBake1.g8814.t2	GO:0005524,GO:0016301
nxHelBake1.g4334.t1	
nxHelBake1.g10835.t1	GO:0042302
nxHelBake1.g11892.t2	GO:0005515,GO:0031931,GO:0031929,GO:0031932
nxHelBake1.g14480.t1	
nxHelBake1.g6438.t1	
nxHelBake1.g9761.t1	GO:0046872,GO:0003676,GO:0003700,GO:0045892
nxHelBake1.g7533.t1	
nxHelBake1.g11812.t1	
nxHelBake1.g5881.t1	
nxHelBake1.g16359.t1	
nxHelBake1.g8768.t1	GOLGI AUTOANTIGEN, GOLGIN SUBFAMILY A, 7
nxHelBake1.g16414.t1	GO:0019825,GO:0020037
nxHelBake1.g16620.t1	
nxHelBake1.g813.t4	GO:0003723
nxHelBake1.g12995.t1	GO:0030490,GO:0003676,GO:0003724,GO:0005524
nxHelBake1.g13021.t1	
nxHelBake1.g7782.t1	GO:0003676,GO:0008408,GO:0006139
nxHelBake1.g14342.t1	
nxHelBake1.g10985.t1	GO:0004930,GO:0007186,GO:0016021
nxHelBake1.g4590.t1	GO:0003676
nxHelBake1.g17612.t1	
nxHelBake1.g2636.t1	
nxHelBake1.g12844.t2	GO:0016192,GO:0030131,GO:0006886
nxHelBake1.g13305.t1	GO:0005261,GO:0055085,GO:0016020,GO:0006811,GO:0005216,GO:0005886
nxHelBake1.g5520.t2	GO:0004674,GO:0005524,GO:0004672,GO:0006468
nxHelBake1.g11008.t1	GO:0005515,GO:0003714,GO:0016575
nxHelBake1.g9375.t1	GO:0042302
nxHelBake1.g18462.t1	
nxHelBake1.g1989.t1	GO:0071805,GO:0016020,GO:0005267,GO:0042802
nxHelBake1.g13823.t1	
nxHelBake1.g13844.t1	GO:0051260
nxHelBake1.g7068.t1	
nxHelBake1.g10644.t2	GO:0005524,GO:0004672,GO:0006468
nxHelBake1.g11470.t1	GO:0008138,GO:0006470,GO:0016311
nxHelBake1.g1948.t1	
nxHelBake1.g15973.t1	GO:0003723,GO:0003676
nxHelBake1.g5180.t1	GO:0006816,GO:0016021,GO:0055085,GO:0016020,GO:0005432,GO:0007154
nxHelBake1.g13770.t1	GO:0016020,GO:0016757
nxHelBake1.g9923.t2	GO:0043047,GO:0000723,GO:0003677,GO:0000781
nxHelBake1.g2997.t1	
nxHelBake1.g6559.t1	GO:0000808,GO:0005634,GO:0006260
nxHelBake1.g14030.t2	GO:0016021
nxHelBake1.g7711.t1	
nxHelBake1.g2940.t1	
nxHelBake1.g11562.t1	
nxHelBake1.g18446.t1	
nxHelBake1.g7308.t1	
nxHelBake1.g5184.t1	GO:0042302
nxHelBake1.g14677.t1	
nxHelBake1.g5345.t1	GO:0006508,GO:0008270,GO:0008237
nxHelBake1.g1856.t1	
nxHelBake1.g16457.t1	
nxHelBake1.g18801.t1	
nxHelBake1.g2138.t1	GO:0055085,GO:0022857
nxHelBake1.g3884.t1	GO:0003824,GO:0016740,GO:0016785,GO:0097056
nxHelBake1.g10315.t1	GO:0005525,GO:0003924
nxHelBake1.g10474.t1	
nxHelBake1.g4126.t1	GO:0010181,GO:0016491
nxHelBake1.g13543.t1	
nxHelBake1.g18184.t1	
nxHelBake1.g2827.t1	GO:0016021,GO:0055085,GO:0016020,GO:0022857,GO:0015377,GO:0006811
nxHelBake1.g9639.t1	GO:0006508,GO:0004252
nxHelBake1.g7519.t1	
nxHelBake1.g13518.t1	
nxHelBake1.g15836.t1	
nxHelBake1.g17887.t1	
nxHelBake1.g6622.t1	GO:0009922,GO:0016021
nxHelBake1.g17058.t2	GO:0005507,GO:0016887,GO:0006812,GO:0019829,GO:0016021,GO:0005524,GO:0046872,GO:0005215,GO:0000166
nxHelBake1.g12359.t1	GO:0016491
nxHelBake1.g8254.t1	
nxHelBake1.g14421.t1	
nxHelBake1.g15784.t1	
nxHelBake1.g10137.t1	
nxHelBake1.g4333.t1	
nxHelBake1.g16538.t1	GO:0004930,GO:0007186,GO:0016021
nxHelBake1.g18236.t1	
nxHelBake1.g996.t1	GO:0007606,GO:0016021
nxHelBake1.g12037.t2	GO:0003723,GO:0003676
nxHelBake1.g11886.t1	GO:0016491
nxHelBake1.g10983.t1	
nxHelBake1.g402.t1	
nxHelBake1.g7896.t1	GO:0005744,GO:0030150
nxHelBake1.g1535.t1	
nxHelBake1.g13595.t1	GO:0006535,GO:0004124
nxHelBake1.g17052.t1	GO:0008138,GO:0006470,GO:0016311
nxHelBake1.g13718.t1	
nxHelBake1.g6565.t1	GO:0007606,GO:0004888,GO:0016021
nxHelBake1.g17443.t2	GO:0005525,GO:0003924,GO:0005515,GO:0005096
nxHelBake1.g4603.t1	
nxHelBake1.g4491.t2	GO:0003723,GO:0005840,GO:0006412,GO:0003735
nxHelBake1.g5518.t1	
nxHelBake1.g9415.t1	GO:0000049,GO:0071528,GO:0031267,GO:0006409
nxHelBake1.g5205.t1	GO:0015934,GO:0005840,GO:0006412,GO:0003735
nxHelBake1.g8409.t1	GO:0004672,GO:0006468
nxHelBake1.g11219.t1	GO:0016020
nxHelBake1.g323.t1	GO:0006355,GO:0003700,GO:0043565
nxHelBake1.g14508.t1	
nxHelBake1.g14501.t1	
nxHelBake1.g13954.t1	GO:0006869,GO:0005319
nxHelBake1.g7105.t1	
nxHelBake1.g7303.t1	
nxHelBake1.g7142.t1	
nxHelBake1.g6158.t1	
nxHelBake1.g12556.t1	
nxHelBake1.g7143.t2	GO:0098789,GO:0008270,GO:0003723,GO:0003676,GO:0046872
nxHelBake1.g15266.t1	
nxHelBake1.g14734.t4	GO:0016757
nxHelBake1.g16543.t1	
nxHelBake1.g13322.t1	GO:0042302
nxHelBake1.g10055.t1	
nxHelBake1.g2074.t1	GO:0035267,GO:0005524,GO:0008094,GO:0097255,GO:0031011
nxHelBake1.g9948.t1	
nxHelBake1.g5228.t1	GO:0006829,GO:0055085,GO:0016020,GO:0046873,GO:0030001
nxHelBake1.g5631.t2	GO:0005524,GO:0004672,GO:0006468
nxHelBake1.g17292.t1	GO:0004861,GO:0000122,GO:0017069,GO:0005634,GO:0005737
nxHelBake1.g13035.t1	
nxHelBake1.g17667.t2	
nxHelBake1.g18193.t1	GO:0005515
nxHelBake1.g13031.t1	
nxHelBake1.g1630.t1	GO:0006644
nxHelBake1.g16517.t1	
nxHelBake1.g9439.t1	GO:0018996,GO:0008270,GO:0006508,GO:0004222,GO:0008237
nxHelBake1.g4663.t17	GO:0061608,GO:0006606
nxHelBake1.g18604.t1	
nxHelBake1.g1900.t1	GO:0000413,GO:0003755
nxHelBake1.g9635.t1	GO:0006508,GO:0004252
nxHelBake1.g13068.t1	GO:0005751,GO:0006123
nxHelBake1.g1996.t1	GO:0006355,GO:0003700,GO:0004879,GO:0004888,GO:0003677,GO:0016020,GO:0008270,GO:0043565,GO:0007606
nxHelBake1.g9920.t1	
nxHelBake1.g3250.t1	GO:0008194
nxHelBake1.g3082.t1	
nxHelBake1.g566.t1	
nxHelBake1.g4682.t1	
nxHelBake1.g5297.t1	
nxHelBake1.g8173.t1	
nxHelBake1.g12727.t1	
nxHelBake1.g118.t1	
nxHelBake1.g4881.t1	
nxHelBake1.g3681.t1	GO:0003676,GO:0004523
nxHelBake1.g18359.t1	
nxHelBake1.g11567.t5	GO:0046835,GO:0005524,GO:0005737,GO:0016301,GO:0016773,GO:0004335,GO:0006012
nxHelBake1.g9441.t1	
nxHelBake1.g9590.t1	
nxHelBake1.g11821.t1	GO:0046983
nxHelBake1.g1025.t1	GO:0006384,GO:0000127
nxHelBake1.g9572.t2	GO:0003824,GO:0006164,GO:0003938
nxHelBake1.g13422.t1	GO:0016301,GO:0048015,GO:0035091,GO:0046854
nxHelBake1.g18785.t1	
