gene	dS	sp
CBG08011	0.2919	cbriggsae_vs_cnigoni
CBG22074a	0.3578	cbriggsae_vs_cnigoni
CBG08224b	0.0738	cbriggsae_vs_cnigoni
CBG17646	0.1975	cbriggsae_vs_cnigoni
CBG15759	0.188	cbriggsae_vs_cnigoni
CBG19001	0.095	cbriggsae_vs_cnigoni
CBG03402a	0.1203	cbriggsae_vs_cnigoni
CBG18391b	0.1556	cbriggsae_vs_cnigoni
CBG20246	0.2505	cbriggsae_vs_cnigoni
CBG10801	0.1939	cbriggsae_vs_cnigoni
CBG13943	0.4535	cbriggsae_vs_cnigoni
CBG03216	0.1032	cbriggsae_vs_cnigoni
CBG02573	0.2289	cbriggsae_vs_cnigoni
CBG23453b	0.1317	cbriggsae_vs_cnigoni
CBG07973	0.1892	cbriggsae_vs_cnigoni
CBG23897a	0.2532	cbriggsae_vs_cnigoni
CBG07065	0.1449	cbriggsae_vs_cnigoni
CBG18791	0.2978	cbriggsae_vs_cnigoni
CBG09153	0.0512	cbriggsae_vs_cnigoni
CBG08714	0.1467	cbriggsae_vs_cnigoni
CBG06029	0.3367	cbriggsae_vs_cnigoni
CBG13523	0.105	cbriggsae_vs_cnigoni
CBG04112a	0.1351	cbriggsae_vs_cnigoni
CBG06270	0.1255	cbriggsae_vs_cnigoni
CBG15142	0.2659	cbriggsae_vs_cnigoni
CBG03041	0.1913	cbriggsae_vs_cnigoni
CBG20173	0.0724	cbriggsae_vs_cnigoni
CBG22468	0.3188	cbriggsae_vs_cnigoni
CBG23345a	0.0704	cbriggsae_vs_cnigoni
CBG14309	0.1639	cbriggsae_vs_cnigoni
CBG04192	0.2024	cbriggsae_vs_cnigoni
CBG12563	0.0445	cbriggsae_vs_cnigoni
CBG14871	0.2756	cbriggsae_vs_cnigoni
CBG23006	0.1319	cbriggsae_vs_cnigoni
CBG07027b	0.166	cbriggsae_vs_cnigoni
CBG22126	0.2633	cbriggsae_vs_cnigoni
CBG11229	0.2082	cbriggsae_vs_cnigoni
CBG20369	0.1179	cbriggsae_vs_cnigoni
CBG08137	0.0719	cbriggsae_vs_cnigoni
CBG24618b	0.2613	cbriggsae_vs_cnigoni
CBG14666	0.2796	cbriggsae_vs_cnigoni
CBG18006	0.1285	cbriggsae_vs_cnigoni
CBG10899	0.2634	cbriggsae_vs_cnigoni
CBG06800	0.1305	cbriggsae_vs_cnigoni
CBG18067	0.1724	cbriggsae_vs_cnigoni
CBG12511	0.1039	cbriggsae_vs_cnigoni
CBG30165	0.1797	cbriggsae_vs_cnigoni
CBG21344	0.0902	cbriggsae_vs_cnigoni
CBG04247	0.1545	cbriggsae_vs_cnigoni
CBG02247	0.1178	cbriggsae_vs_cnigoni
CBG06185a	0.1872	cbriggsae_vs_cnigoni
CBG00948b	0.2029	cbriggsae_vs_cnigoni
CBG00741	0.2688	cbriggsae_vs_cnigoni
CBG00550	0.2668	cbriggsae_vs_cnigoni
CBG16474	0.117	cbriggsae_vs_cnigoni
CBG01666	0.1646	cbriggsae_vs_cnigoni
CBG00674	0.1178	cbriggsae_vs_cnigoni
CBG21166a	0.2191	cbriggsae_vs_cnigoni
CBG06150	0.1488	cbriggsae_vs_cnigoni
CBG03596	0.1247	cbriggsae_vs_cnigoni
CBG09214	0.144	cbriggsae_vs_cnigoni
CBG08681	0.2204	cbriggsae_vs_cnigoni
CBG14580	0.1878	cbriggsae_vs_cnigoni
CBG13913	0.2027	cbriggsae_vs_cnigoni
CBG19799	0.149	cbriggsae_vs_cnigoni
CBG09654	0.126	cbriggsae_vs_cnigoni
CBG14568b	0.2349	cbriggsae_vs_cnigoni
CBG11775	0.2914	cbriggsae_vs_cnigoni
CBG31447	0.1116	cbriggsae_vs_cnigoni
CBG21526	0.2076	cbriggsae_vs_cnigoni
CBG06106	0.2439	cbriggsae_vs_cnigoni
CBG07253a	0.6667	cbriggsae_vs_cnigoni
CBG15659	0.2332	cbriggsae_vs_cnigoni
CBG18762	0.2916	cbriggsae_vs_cnigoni
CBG04610	0.2563	cbriggsae_vs_cnigoni
CBG18688	0.219	cbriggsae_vs_cnigoni
CBG20269	0.2674	cbriggsae_vs_cnigoni
CBG09088	0.2381	cbriggsae_vs_cnigoni
CBG05894	0.0652	cbriggsae_vs_cnigoni
CBG21109a	0.168	cbriggsae_vs_cnigoni
CBG16563	0.1476	cbriggsae_vs_cnigoni
CBG01004	0.0884	cbriggsae_vs_cnigoni
CBG03160a	0.0875	cbriggsae_vs_cnigoni
CBG19766	0.088	cbriggsae_vs_cnigoni
CBG21011a	0.2329	cbriggsae_vs_cnigoni
CBG13969	0.236	cbriggsae_vs_cnigoni
CBG18305a	0.0944	cbriggsae_vs_cnigoni
CBG18265c	0.1836	cbriggsae_vs_cnigoni
CBG05114	0.1061	cbriggsae_vs_cnigoni
CBG01816a	0.1157	cbriggsae_vs_cnigoni
CBG01524	0.2955	cbriggsae_vs_cnigoni
CBG09887b	0.1075	cbriggsae_vs_cnigoni
CBG13587	0.0982	cbriggsae_vs_cnigoni
CBG20677a	0.3031	cbriggsae_vs_cnigoni
CBG09738b	0.1429	cbriggsae_vs_cnigoni
CBG05912	0.0838	cbriggsae_vs_cnigoni
CBG15255b	0.376	cbriggsae_vs_cnigoni
CBG02919	0.1396	cbriggsae_vs_cnigoni
CBG08158a	0.1062	cbriggsae_vs_cnigoni
CBG12570a	0.1652	cbriggsae_vs_cnigoni
CBG12453	0.1289	cbriggsae_vs_cnigoni
CBG18584a	0.286	cbriggsae_vs_cnigoni
CBG19951	0.2325	cbriggsae_vs_cnigoni
CBG15298	0.2818	cbriggsae_vs_cnigoni
CBG12166	0.1847	cbriggsae_vs_cnigoni
CBG03144	0.152	cbriggsae_vs_cnigoni
CBG03923b	0.1061	cbriggsae_vs_cnigoni
CBG20422	0.258	cbriggsae_vs_cnigoni
CBG00023	0.1687	cbriggsae_vs_cnigoni
CBG16796a	0.2902	cbriggsae_vs_cnigoni
CBG09778	0.1467	cbriggsae_vs_cnigoni
CBG15371	0.3318	cbriggsae_vs_cnigoni
CBG04493	0.2433	cbriggsae_vs_cnigoni
CBG04571	0.2762	cbriggsae_vs_cnigoni
CBG18012	0.0913	cbriggsae_vs_cnigoni
CBG03329	0.1483	cbriggsae_vs_cnigoni
CBG00693	0.3355	cbriggsae_vs_cnigoni
CBG01077	0.0969	cbriggsae_vs_cnigoni
CBG20762	0.3374	cbriggsae_vs_cnigoni
CBG10089	0.345	cbriggsae_vs_cnigoni
CBG01725	0.0515	cbriggsae_vs_cnigoni
CBG15358	0.179	cbriggsae_vs_cnigoni
CBG01804	0.1004	cbriggsae_vs_cnigoni
CBG04458	0.2146	cbriggsae_vs_cnigoni
CBG01438	0.26	cbriggsae_vs_cnigoni
CBG21507	0.0271	cbriggsae_vs_cnigoni
CBG23329	0.3036	cbriggsae_vs_cnigoni
CBG09798b	0.2118	cbriggsae_vs_cnigoni
CBG16374	0.2294	cbriggsae_vs_cnigoni
CBG03075	0.1936	cbriggsae_vs_cnigoni
CBG04483a	0.1604	cbriggsae_vs_cnigoni
CBG09388b	0.147	cbriggsae_vs_cnigoni
CBG21724	0.1482	cbriggsae_vs_cnigoni
CBG23419	0.1486	cbriggsae_vs_cnigoni
CBG12454	0.1042	cbriggsae_vs_cnigoni
CBG08212	0.0553	cbriggsae_vs_cnigoni
CBG11529b	0.1854	cbriggsae_vs_cnigoni
CBG16309	0.1521	cbriggsae_vs_cnigoni
CBG16674	0.3774	cbriggsae_vs_cnigoni
CBG30164	0.2065	cbriggsae_vs_cnigoni
CBG09987	0.1109	cbriggsae_vs_cnigoni
CBG00998	0.1892	cbriggsae_vs_cnigoni
CBG09057a	0.1003	cbriggsae_vs_cnigoni
CBG20362a	0.3322	cbriggsae_vs_cnigoni
CBG12989c	0.1315	cbriggsae_vs_cnigoni
CBG05232	0.3077	cbriggsae_vs_cnigoni
CBG09393	0.0816	cbriggsae_vs_cnigoni
CBG19804	0.2198	cbriggsae_vs_cnigoni
CBG03002	0.1453	cbriggsae_vs_cnigoni
CBG04034	0.1476	cbriggsae_vs_cnigoni
CBG09667	0.2392	cbriggsae_vs_cnigoni
CBG14936a	0.1599	cbriggsae_vs_cnigoni
CBG13985b	0.3912	cbriggsae_vs_cnigoni
CBG21464	0.2217	cbriggsae_vs_cnigoni
CBG12349	0.0916	cbriggsae_vs_cnigoni
CBG08362a	0.0958	cbriggsae_vs_cnigoni
CBG14945	0.1504	cbriggsae_vs_cnigoni
CBG12874	0.243	cbriggsae_vs_cnigoni
CBG19235	0.1626	cbriggsae_vs_cnigoni
CBG11105	0.3104	cbriggsae_vs_cnigoni
CBG13447	0.23	cbriggsae_vs_cnigoni
CBG07756	0.3084	cbriggsae_vs_cnigoni
CBG17275	0.2641	cbriggsae_vs_cnigoni
CBG12465	0.0628	cbriggsae_vs_cnigoni
CBG02620	0.1281	cbriggsae_vs_cnigoni
CBG12645	0.2285	cbriggsae_vs_cnigoni
CBG10088	0.1378	cbriggsae_vs_cnigoni
CBG00956	0.1584	cbriggsae_vs_cnigoni
CBG10062	0.1891	cbriggsae_vs_cnigoni
CBG00717	0.212	cbriggsae_vs_cnigoni
CBG25508e	0.3004	cbriggsae_vs_cnigoni
CBG02981	0.0434	cbriggsae_vs_cnigoni
CBG19705	0.3046	cbriggsae_vs_cnigoni
CBG08558	0.2177	cbriggsae_vs_cnigoni
CBG20698	0.1201	cbriggsae_vs_cnigoni
CBG07064	0.194	cbriggsae_vs_cnigoni
CBG05171	0.2335	cbriggsae_vs_cnigoni
CBG08754	0.0623	cbriggsae_vs_cnigoni
CBG06064	0.1198	cbriggsae_vs_cnigoni
CBG10148	0.2116	cbriggsae_vs_cnigoni
CBG20909	0.2708	cbriggsae_vs_cnigoni
CBG21463	0.3125	cbriggsae_vs_cnigoni
CBG12721	0.2232	cbriggsae_vs_cnigoni
CBG23358	0.2101	cbriggsae_vs_cnigoni
CBG12347b	0.2091	cbriggsae_vs_cnigoni
CBG20218	0.2125	cbriggsae_vs_cnigoni
CBG18299	0.2034	cbriggsae_vs_cnigoni
CBG12474b	0.1777	cbriggsae_vs_cnigoni
CBG12641	0.1827	cbriggsae_vs_cnigoni
CBG19013	0.1938	cbriggsae_vs_cnigoni
CBG19342	0.1	cbriggsae_vs_cnigoni
CBG05716	0.1191	cbriggsae_vs_cnigoni
CBG12362	0.1005	cbriggsae_vs_cnigoni
CBG19657	0.1743	cbriggsae_vs_cnigoni
CBG14565	0.169	cbriggsae_vs_cnigoni
CBG07885	0.3191	cbriggsae_vs_cnigoni
CBG30984	0.1864	cbriggsae_vs_cnigoni
CBG20226	0.264	cbriggsae_vs_cnigoni
CBG17459	0.2148	cbriggsae_vs_cnigoni
CBG06959	0.0966	cbriggsae_vs_cnigoni
CBG18211	0.1206	cbriggsae_vs_cnigoni
CBG02647	0.1679	cbriggsae_vs_cnigoni
CBG18957	0.1073	cbriggsae_vs_cnigoni
CBG18802	0.3081	cbriggsae_vs_cnigoni
CBG18125	0.2202	cbriggsae_vs_cnigoni
CBG02539	0.1757	cbriggsae_vs_cnigoni
CBG14280	0.1895	cbriggsae_vs_cnigoni
CBG23731	0.0654	cbriggsae_vs_cnigoni
CBG02845	0.1431	cbriggsae_vs_cnigoni
CBG08746a	0.1378	cbriggsae_vs_cnigoni
CBG09863g	0.1305	cbriggsae_vs_cnigoni
CBG08042	0.2828	cbriggsae_vs_cnigoni
CBG11168	0.2221	cbriggsae_vs_cnigoni
CBG09548	0.1658	cbriggsae_vs_cnigoni
CBG18297	0.1994	cbriggsae_vs_cnigoni
CBG15101	0.2778	cbriggsae_vs_cnigoni
CBG11868	0.2838	cbriggsae_vs_cnigoni
CBG14139	0.1761	cbriggsae_vs_cnigoni
CBG04195	0.1009	cbriggsae_vs_cnigoni
CBG07090	0.2154	cbriggsae_vs_cnigoni
CBG01874a	0.2203	cbriggsae_vs_cnigoni
CBG08257	0.0991	cbriggsae_vs_cnigoni
CBG11206a	0.2282	cbriggsae_vs_cnigoni
CBG02862	0.0872	cbriggsae_vs_cnigoni
CBG12724	0.1741	cbriggsae_vs_cnigoni
CBG27214	0.398	cbriggsae_vs_cnigoni
CBG15346	0.1808	cbriggsae_vs_cnigoni
CBG02320	0.1832	cbriggsae_vs_cnigoni
CBG04569	0.2256	cbriggsae_vs_cnigoni
CBG05985	0.2923	cbriggsae_vs_cnigoni
CBG09956c	0.0705	cbriggsae_vs_cnigoni
CBG13184	0.1727	cbriggsae_vs_cnigoni
CBG11995	0.0569	cbriggsae_vs_cnigoni
CBG20480b	0.0246	cbriggsae_vs_cnigoni
CBG18007	0.1321	cbriggsae_vs_cnigoni
CBG24043	0.1503	cbriggsae_vs_cnigoni
CBG18057	0.0583	cbriggsae_vs_cnigoni
CBG21324	0.1712	cbriggsae_vs_cnigoni
CBG02760	0.246	cbriggsae_vs_cnigoni
CBG24564	0.1602	cbriggsae_vs_cnigoni
CBG08147	0.1807	cbriggsae_vs_cnigoni
CBG22171	0.2528	cbriggsae_vs_cnigoni
CBG01486	0.3286	cbriggsae_vs_cnigoni
CBG19635	0.2052	cbriggsae_vs_cnigoni
CBG07402a	0.2294	cbriggsae_vs_cnigoni
CBG19703	0.1744	cbriggsae_vs_cnigoni
CBG29123	0.2629	cbriggsae_vs_cnigoni
CBG14320	0.2852	cbriggsae_vs_cnigoni
CBG08053	0.1893	cbriggsae_vs_cnigoni
CBG01378	0.3418	cbriggsae_vs_cnigoni
CBG05463b	0.2327	cbriggsae_vs_cnigoni
CBG01646	0.2065	cbriggsae_vs_cnigoni
CBG01769	0.1517	cbriggsae_vs_cnigoni
CBG18050	0.1861	cbriggsae_vs_cnigoni
CBG19663b	0.2297	cbriggsae_vs_cnigoni
CBG11089	0.2703	cbriggsae_vs_cnigoni
CBG23306	0.1808	cbriggsae_vs_cnigoni
CBG09865	0.1473	cbriggsae_vs_cnigoni
CBG23720	0.1391	cbriggsae_vs_cnigoni
CBG00960	0.1816	cbriggsae_vs_cnigoni
CBG20911	0.2878	cbriggsae_vs_cnigoni
CBG14818	0.2287	cbriggsae_vs_cnigoni
CBG02907	0.152	cbriggsae_vs_cnigoni
CBG04089	0.1232	cbriggsae_vs_cnigoni
CBG12872b	0.4046	cbriggsae_vs_cnigoni
CBG10042	0.1739	cbriggsae_vs_cnigoni
CBG08103	0.1677	cbriggsae_vs_cnigoni
CBG01615	0.1253	cbriggsae_vs_cnigoni
CBG17764	0.4313	cbriggsae_vs_cnigoni
CBG25585	0.1058	cbriggsae_vs_cnigoni
CBG03988	0.0602	cbriggsae_vs_cnigoni
CBG16308	0.2509	cbriggsae_vs_cnigoni
CBG21689a	0.2394	cbriggsae_vs_cnigoni
CBG18772	0.1959	cbriggsae_vs_cnigoni
CBG14145	0.0905	cbriggsae_vs_cnigoni
CBG12655	0.1122	cbriggsae_vs_cnigoni
CBG21144a	0.2825	cbriggsae_vs_cnigoni
CBG03714	0.0652	cbriggsae_vs_cnigoni
CBG12968	0.1487	cbriggsae_vs_cnigoni
CBG17957	0.1462	cbriggsae_vs_cnigoni
CBG11708	0.348	cbriggsae_vs_cnigoni
CBG03795	0.1016	cbriggsae_vs_cnigoni
CBG02221	0.1103	cbriggsae_vs_cnigoni
CBG16661	0.0949	cbriggsae_vs_cnigoni
CBG22378	0.2679	cbriggsae_vs_cnigoni
CBG06975	0.1647	cbriggsae_vs_cnigoni
CBG07736	0.2074	cbriggsae_vs_cnigoni
CBG03442	0.1724	cbriggsae_vs_cnigoni
CBG12393	0.0972	cbriggsae_vs_cnigoni
CBG13890	0.2027	cbriggsae_vs_cnigoni
CBG19617b	0.2031	cbriggsae_vs_cnigoni
CBG06266	0.0833	cbriggsae_vs_cnigoni
CBG05166	0.1468	cbriggsae_vs_cnigoni
CBG05809	0.1855	cbriggsae_vs_cnigoni
CBG11892	0.2471	cbriggsae_vs_cnigoni
CBG11224	0.2227	cbriggsae_vs_cnigoni
CBG03325	0.0965	cbriggsae_vs_cnigoni
CBG15427	0.2351	cbriggsae_vs_cnigoni
CBG14816	0.2387	cbriggsae_vs_cnigoni
CBG15383	0.2928	cbriggsae_vs_cnigoni
CBG05588	0.009	cbriggsae_vs_cnigoni
CBG05115	0.1344	cbriggsae_vs_cnigoni
CBG15316	0.105	cbriggsae_vs_cnigoni
CBG12367	0.1277	cbriggsae_vs_cnigoni
CBG14479	0.1416	cbriggsae_vs_cnigoni
CBG04133b	0.1866	cbriggsae_vs_cnigoni
CBG11982	0.0523	cbriggsae_vs_cnigoni
CBG03822	0.1181	cbriggsae_vs_cnigoni
CBG06987	0.2012	cbriggsae_vs_cnigoni
CBG12695	0.3695	cbriggsae_vs_cnigoni
CBG17993	0.1209	cbriggsae_vs_cnigoni
CBG07568b	0.3378	cbriggsae_vs_cnigoni
CBG14519	0.2168	cbriggsae_vs_cnigoni
CBG21644b	0.2997	cbriggsae_vs_cnigoni
CBG13085	0.1191	cbriggsae_vs_cnigoni
CBG05168	0.1912	cbriggsae_vs_cnigoni
CBG08584	0.1268	cbriggsae_vs_cnigoni
CBG03844	0.1167	cbriggsae_vs_cnigoni
CBG08037a	0.2399	cbriggsae_vs_cnigoni
CBG16619	0.1292	cbriggsae_vs_cnigoni
CBG11219	0.2464	cbriggsae_vs_cnigoni
CBG15718	0.2156	cbriggsae_vs_cnigoni
CBG12203	0.0951	cbriggsae_vs_cnigoni
CBG09773	0.1294	cbriggsae_vs_cnigoni
CBG09807	0.1024	cbriggsae_vs_cnigoni
CBG05768	0.0826	cbriggsae_vs_cnigoni
CBG14915	0.1164	cbriggsae_vs_cnigoni
CBG00585	0.1362	cbriggsae_vs_cnigoni
CBG08416	0.2419	cbriggsae_vs_cnigoni
CBG13079a	0.3007	cbriggsae_vs_cnigoni
CBG21172b	0.5068	cbriggsae_vs_cnigoni
CBG04485	0.3336	cbriggsae_vs_cnigoni
CBG02999	0.1942	cbriggsae_vs_cnigoni
CBG02403	0.1455	cbriggsae_vs_cnigoni
CBG16044	0.1436	cbriggsae_vs_cnigoni
CBG23516	0.1725	cbriggsae_vs_cnigoni
CBG16157	0.4001	cbriggsae_vs_cnigoni
CBG15144	0.2767	cbriggsae_vs_cnigoni
CBG19764	0.0435	cbriggsae_vs_cnigoni
CBG23147	0.0929	cbriggsae_vs_cnigoni
CBG12359a	0.1298	cbriggsae_vs_cnigoni
CBG13206	0.1986	cbriggsae_vs_cnigoni
CBG21320	0.2136	cbriggsae_vs_cnigoni
CBG06990a	0.1356	cbriggsae_vs_cnigoni
CBG20918	0.2941	cbriggsae_vs_cnigoni
CBG21317	0.2584	cbriggsae_vs_cnigoni
CBG08089	0.1458	cbriggsae_vs_cnigoni
CBG23111	0.2872	cbriggsae_vs_cnigoni
CBG02097	0.2544	cbriggsae_vs_cnigoni
CBG13006a	0.1154	cbriggsae_vs_cnigoni
CBG11120	0.2184	cbriggsae_vs_cnigoni
CBG01789	0.0745	cbriggsae_vs_cnigoni
CBG09771	0.2405	cbriggsae_vs_cnigoni
CBG04558	0.1913	cbriggsae_vs_cnigoni
CBG19666	0.1759	cbriggsae_vs_cnigoni
CBG19070	0.1732	cbriggsae_vs_cnigoni
CBG15713	0.3065	cbriggsae_vs_cnigoni
CBG01866b	0.1374	cbriggsae_vs_cnigoni
CBG08008	0.257	cbriggsae_vs_cnigoni
CBG22399a	0.1516	cbriggsae_vs_cnigoni
CBG15420	0.3667	cbriggsae_vs_cnigoni
CBG00961	0.1595	cbriggsae_vs_cnigoni
CBG12983	0.1702	cbriggsae_vs_cnigoni
CBG04279	0.3442	cbriggsae_vs_cnigoni
CBG31419	0.2808	cbriggsae_vs_cnigoni
CBG04131	0.1793	cbriggsae_vs_cnigoni
CBG04281	0.2532	cbriggsae_vs_cnigoni
CBG23215	0.1361	cbriggsae_vs_cnigoni
CBG18106	0.2405	cbriggsae_vs_cnigoni
CBG14904	0.0607	cbriggsae_vs_cnigoni
CBG06017	0.1355	cbriggsae_vs_cnigoni
CBG09828b	0.0786	cbriggsae_vs_cnigoni
CBG09001	0.0314	cbriggsae_vs_cnigoni
CBG16865	0.1874	cbriggsae_vs_cnigoni
CBG04003	0.0962	cbriggsae_vs_cnigoni
CBG23427	0.2428	cbriggsae_vs_cnigoni
CBG03796	0.0223	cbriggsae_vs_cnigoni
CBG04259	0.2531	cbriggsae_vs_cnigoni
CBG10087b	0.077	cbriggsae_vs_cnigoni
CBG03254	0.0455	cbriggsae_vs_cnigoni
CBG17336	0.2863	cbriggsae_vs_cnigoni
CBG30265	0.1104	cbriggsae_vs_cnigoni
CBG09058	0.1105	cbriggsae_vs_cnigoni
CBG22190	0.2122	cbriggsae_vs_cnigoni
CBG11357	0.1423	cbriggsae_vs_cnigoni
CBG16481b	0.2879	cbriggsae_vs_cnigoni
CBG13508	0.111	cbriggsae_vs_cnigoni
CBG04521	0.4105	cbriggsae_vs_cnigoni
CBG06373a	0.1905	cbriggsae_vs_cnigoni
CBG03197	0.2074	cbriggsae_vs_cnigoni
CBG13624	0.2532	cbriggsae_vs_cnigoni
CBG12022	0.1254	cbriggsae_vs_cnigoni
CBG02697	0.2153	cbriggsae_vs_cnigoni
CBG13276a	0.1745	cbriggsae_vs_cnigoni
CBG20500	0.148	cbriggsae_vs_cnigoni
CBG22282	0.1582	cbriggsae_vs_cnigoni
CBG06641	0.2075	cbriggsae_vs_cnigoni
CBG11976	0.2523	cbriggsae_vs_cnigoni
CBG04015a	0.0917	cbriggsae_vs_cnigoni
CBG00731	0.2563	cbriggsae_vs_cnigoni
CBG15837	0.144	cbriggsae_vs_cnigoni
CBG03566	0.3356	cbriggsae_vs_cnigoni
CBG12264	0.2295	cbriggsae_vs_cnigoni
CBG12204	0.1099	cbriggsae_vs_cnigoni
CBG03408	0.1283	cbriggsae_vs_cnigoni
CBG02303	0.1052	cbriggsae_vs_cnigoni
CBG09581	0.1184	cbriggsae_vs_cnigoni
CBG12417	0.119	cbriggsae_vs_cnigoni
CBG02361a	0.161	cbriggsae_vs_cnigoni
CBG21810	0.263	cbriggsae_vs_cnigoni
CBG18028	0.1814	cbriggsae_vs_cnigoni
CBG06221	0.0803	cbriggsae_vs_cnigoni
CBG01522	0.1273	cbriggsae_vs_cnigoni
CBG18158	0.1206	cbriggsae_vs_cnigoni
CBG17160	0.1609	cbriggsae_vs_cnigoni
CBG11989	0.1441	cbriggsae_vs_cnigoni
CBG08426	0.2289	cbriggsae_vs_cnigoni
CBG23271	0.141	cbriggsae_vs_cnigoni
CBG14270	0.2502	cbriggsae_vs_cnigoni
CBG15673b	0.2268	cbriggsae_vs_cnigoni
CBG22273	0.0627	cbriggsae_vs_cnigoni
CBG09700	0.0714	cbriggsae_vs_cnigoni
CBG10071	0.1465	cbriggsae_vs_cnigoni
CBG02217	0.1581	cbriggsae_vs_cnigoni
CBG11103	0.2245	cbriggsae_vs_cnigoni
CBG11932	0.0595	cbriggsae_vs_cnigoni
CBG16760	0.1636	cbriggsae_vs_cnigoni
CBG18323	0.13	cbriggsae_vs_cnigoni
CBG20194	0.2852	cbriggsae_vs_cnigoni
CBG17672	0.1786	cbriggsae_vs_cnigoni
CBG08960	0.1955	cbriggsae_vs_cnigoni
CBG00471	0.2075	cbriggsae_vs_cnigoni
CBG21100	0.2884	cbriggsae_vs_cnigoni
CBG00387	0.2188	cbriggsae_vs_cnigoni
CBG14317	0.2826	cbriggsae_vs_cnigoni
CBG22285	0.1643	cbriggsae_vs_cnigoni
CBG20627	0.0593	cbriggsae_vs_cnigoni
CBG12683	0.1682	cbriggsae_vs_cnigoni
CBG05122b	0.2203	cbriggsae_vs_cnigoni
CBG18086	0.2626	cbriggsae_vs_cnigoni
CBG29966	0.2037	cbriggsae_vs_cnigoni
CBG22043	0	cbriggsae_vs_cnigoni
CBG23721	0.2418	cbriggsae_vs_cnigoni
CBG01518a	0.2774	cbriggsae_vs_cnigoni
CBG20997	0.2692	cbriggsae_vs_cnigoni
CBG15247	0.1628	cbriggsae_vs_cnigoni
CBG00965	0.1544	cbriggsae_vs_cnigoni
CBG05009b	0.2062	cbriggsae_vs_cnigoni
CBG01765	0.153	cbriggsae_vs_cnigoni
CBG19687	0.0415	cbriggsae_vs_cnigoni
CBG24495	0.1101	cbriggsae_vs_cnigoni
CBG13675b	0.2816	cbriggsae_vs_cnigoni
CBG13461	0.2184	cbriggsae_vs_cnigoni
CBG18807b	0.2499	cbriggsae_vs_cnigoni
CBG19806	0.2523	cbriggsae_vs_cnigoni
CBG06149	0.0866	cbriggsae_vs_cnigoni
CBG02381	0.1283	cbriggsae_vs_cnigoni
CBG13053	0.1949	cbriggsae_vs_cnigoni
CBG24045	0.1973	cbriggsae_vs_cnigoni
CBG01476	0.2565	cbriggsae_vs_cnigoni
CBG13395	0.2758	cbriggsae_vs_cnigoni
CBG06637	0.2376	cbriggsae_vs_cnigoni
CBG06689	0.3058	cbriggsae_vs_cnigoni
CBG02248	0.0783	cbriggsae_vs_cnigoni
CBG14867	0.1019	cbriggsae_vs_cnigoni
CBG13333	0.2326	cbriggsae_vs_cnigoni
CBG20848a	0.2397	cbriggsae_vs_cnigoni
CBG13518b	0.1134	cbriggsae_vs_cnigoni
CBG12960b	0.127	cbriggsae_vs_cnigoni
CBG02280	0.1644	cbriggsae_vs_cnigoni
CBG15010	0.2366	cbriggsae_vs_cnigoni
CBG10035	0.1404	cbriggsae_vs_cnigoni
CBG13203	0.2329	cbriggsae_vs_cnigoni
CBG21517	0.2556	cbriggsae_vs_cnigoni
CBG18401	0.2171	cbriggsae_vs_cnigoni
CBG20460	0.1397	cbriggsae_vs_cnigoni
CBG03213	0.2321	cbriggsae_vs_cnigoni
CBG15693	0.4057	cbriggsae_vs_cnigoni
CBG23273	0.2104	cbriggsae_vs_cnigoni
CBG12500	0.0822	cbriggsae_vs_cnigoni
CBG17348d	0.3157	cbriggsae_vs_cnigoni
CBG14695	0.3396	cbriggsae_vs_cnigoni
CBG07766	0.1554	cbriggsae_vs_cnigoni
CBG12504	0.0846	cbriggsae_vs_cnigoni
CBG15687	0.0958	cbriggsae_vs_cnigoni
CBG04748	0.2905	cbriggsae_vs_cnigoni
CBG15669b	0.2701	cbriggsae_vs_cnigoni
CBG23191	0.1658	cbriggsae_vs_cnigoni
CBG01042	0.0471	cbriggsae_vs_cnigoni
CBG19955	0.188	cbriggsae_vs_cnigoni
CBG06229a	0.1583	cbriggsae_vs_cnigoni
CBG08713	0.1368	cbriggsae_vs_cnigoni
CBG12364	0.1405	cbriggsae_vs_cnigoni
CBG15206b	0.1836	cbriggsae_vs_cnigoni
CBG03800	0.1148	cbriggsae_vs_cnigoni
CBG08181	0.1715	cbriggsae_vs_cnigoni
CBG17948b	0.2493	cbriggsae_vs_cnigoni
CBG02063	0.346	cbriggsae_vs_cnigoni
CBG18502a	0.2158	cbriggsae_vs_cnigoni
CBG08658	0.1906	cbriggsae_vs_cnigoni
CBG00136	0.2402	cbriggsae_vs_cnigoni
CBG13258	0.1648	cbriggsae_vs_cnigoni
CBG08062	0.1597	cbriggsae_vs_cnigoni
CBG16531a	0.1787	cbriggsae_vs_cnigoni
CBG23256	0.2429	cbriggsae_vs_cnigoni
CBG18602	0.2069	cbriggsae_vs_cnigoni
CBG02577	0.145	cbriggsae_vs_cnigoni
CBG11519	0.1628	cbriggsae_vs_cnigoni
CBG13964	0.2309	cbriggsae_vs_cnigoni
CBG02605	0.1009	cbriggsae_vs_cnigoni
CBG10994	0.1746	cbriggsae_vs_cnigoni
CBG03250	0.1538	cbriggsae_vs_cnigoni
CBG03787c	0.1028	cbriggsae_vs_cnigoni
CBG02947a	0.1257	cbriggsae_vs_cnigoni
CBG19038a	0.1336	cbriggsae_vs_cnigoni
CBG24933	0.4453	cbriggsae_vs_cnigoni
